period,rows,indicativefee_nonmissing,dcbs_nonmissing,saf_nonmissing,sar_nonmissing,utilisation_nonmissing,activeutilisation_nonmissing,cusip_nonmissing,cusip8_nonmissing,cusip9_nonmissing,indicativefee_coverage,dcbs_coverage,saf_coverage,sar_coverage,utilisation_coverage,activeutilisation_coverage
2008-06,196256,138818,138818,31634,31378,181411,181411,,,,0.7073312408283059,0.7073312408283059,0.16118742866460134,0.15988300994619273,0.924359000489157,0.924359000489157
2008-07,212662,151681,151681,32465,32318,194709,194709,,,,0.7132491935559715,0.7132491935559715,0.1526600897198371,0.15196885198107796,0.9155796522180738,0.9155796522180738
2008-08,195092,137481,137481,27864,27996,180073,180073,,,,0.7046982961884649,0.7046982961884649,0.14282492362577656,0.14350152748446887,0.9230158079265167,0.9230158079265167
2008-09,202954,141814,141814,29949,29779,188406,188406,,,,0.6987494703233245,0.6987494703233245,0.14756545818264238,0.14672782995161465,0.9283187323235808,0.9283187323235808
2008-10,204184,148890,148890,31234,31294,185823,185823,,,,0.729195235669788,0.729195235669788,0.15296987031305098,0.15326372291658505,0.9100762057751832,0.9100762057751832
2008-11,174324,128177,128177,27429,28051,159042,159042,,,,0.7352802826919989,0.7352802826919989,0.15734494389757003,0.1609130125513412,0.9123356508570248,0.9123356508570248
2008-12,197465,142481,142481,30681,30863,181479,181479,,,,0.7215506545463753,0.7215506545463753,0.15537437014154407,0.15629605246499378,0.9190438811941357,0.9190438811941357
2009-01,187609,135630,135630,25183,24111,171573,171573,,,,0.7229397310363576,0.7229397310363576,0.134231300204148,0.12851728861621778,0.914524356507417,0.914524356507417
2009-02,166685,118026,118026,22569,20273,154538,154538,,,,0.7080781114077451,0.7080781114077451,0.1353991060983292,0.12162462129165792,0.9271260161382248,0.9271260161382248
2009-03,180472,126484,126484,23619,19759,169111,169111,,,,0.70085110155592,0.70085110155592,0.13087348729996898,0.10948512788687442,0.937048406400993,0.937048406400993
2009-04,180248,129381,129381,23686,18833,168736,168736,,,,0.7177943721983046,0.7177943721983046,0.13140783808974302,0.10448382228929032,0.9361324397496782,0.9361324397496782
2009-05,172688,121796,121796,23418,18037,161523,161523,,,,0.7052950986750671,0.7052950986750671,0.13560872787918096,0.10444848512925044,0.9353458259983323,0.9353458259983323
2009-06,178868,127013,127013,23964,21093,167366,167366,,,,0.7100934767538073,0.7100934767538073,0.133975892837176,0.11792495024263702,0.9356955967529128,0.9356955967529128
2009-07,183645,133910,133910,24437,19882,171270,171270,,,,0.7291785782351821,0.7291785782351821,0.13306651419858967,0.10826322524435732,0.9326145552560647,0.9326145552560647
2009-08,163532,120484,120484,22075,17757,153640,153640,,,,0.7367610009050216,0.7367610009050216,0.13498887067974463,0.10858425262333977,0.939510309908764,0.939510309908764
2009-09,156518,115476,115476,24779,21823,156518,156518,,,,0.7377809581006657,0.7377809581006657,0.1583140597247601,0.13942805300348843,1.0,1.0
2009-10,155950,114899,114899,30279,26771,155950,155950,,,,0.7367681949342738,0.7367681949342738,0.19415838409746713,0.1716639948701507,1.0,1.0
2009-11,147061,109129,109129,29828,25908,147061,147061,,,,0.7420662174199821,0.7420662174199821,0.20282739815450732,0.17617179265746866,1.0,1.0
2009-12,161537,117890,117890,45048,41673,161537,161537,,,,0.7298018410642763,0.7298018410642763,0.2788710945479983,0.2579780483728186,1.0,1.0
2010-01,146242,106927,106927,49104,47469,146242,146242,,,,0.7311647816632705,0.7311647816632705,0.33577221318089195,0.324592114440448,1.0,1.0
2010-02,138590,102232,102232,48090,47384,138590,138590,,,,0.737657839670972,0.737657839670972,0.34699473266469444,0.34190057002669744,1.0,1.0
2010-03,158123,117966,117966,53287,52554,158123,158123,,,,0.7460394755981103,0.7460394755981103,0.33699714779001155,0.3323615160349854,1.0,1.0
2010-04,150056,113064,113064,53023,51752,150056,150056,,,,0.7534787012848536,0.7534787012848536,0.3533547475609106,0.3448845764248014,1.0,1.0
2010-05,144580,106875,106875,51682,51165,143970,143970,,,,0.7392101258818647,0.7392101258818647,0.3574629962650436,0.35388712131691796,0.9957808825563702,0.9957808825563702
2010-06,147967,110703,110703,54279,53608,147967,147967,,,,0.7481600627166868,0.7481600627166868,0.36683179357559453,0.3622969986551055,1.0,1.0
2010-07,147778,110168,110168,54777,54142,147778,147778,,,,0.7454966233133484,0.7454966233133484,0.3706708711716223,0.3663738851520524,1.0,1.0
2010-08,150310,109861,109861,53723,53106,150310,150310,,,,0.7308961479608809,0.7308961479608809,0.35741467633557317,0.3533098263588584,1.0,1.0
2010-09,144355,110449,110449,53287,53010,144355,144355,,,,0.7651207093623359,0.7651207093623359,0.3691385819680648,0.3672197014305012,1.0,1.0
2010-10,136208,105437,105437,49236,49108,136208,136208,,,,0.7740881592857982,0.7740881592857982,0.36147656525314226,0.36053682603077647,1.0,1.0
2010-11,142357,112147,112147,52500,52236,142357,142357,,,,0.787787042435567,0.787787042435567,0.3687911377733445,0.3669366451948271,1.0,1.0
2010-12,148169,116566,116566,54638,54440,148169,148169,,,,0.7867097705997881,0.7867097705997881,0.368754597790361,0.3674182858762629,1.0,1.0
2011-01,135286,107848,107848,48288,48060,133253,133253,,,,0.7971852224176929,0.7971852224176929,0.3569327203110447,0.3552474018006298,0.9849725766154664,0.9849725766154664
2011-02,126403,100644,100644,48302,48200,126403,126403,,,,0.79621527970064,0.79621527970064,0.3821270064792766,0.3813200636060853,1.0,1.0
2011-03,162156,131763,131763,68614,68557,145753,145753,,,,0.8125693776363502,0.8125693776363502,0.423135745825008,0.4227842324675004,0.8988443227509312,0.8988443227509312
2011-04,176467,129329,129329,66078,66031,163388,163388,,,,0.732879235211116,0.732879235211116,0.3744496138088141,0.3741832750599262,0.9258841596445795,0.9258841596445795
2011-05,180782,132141,132141,67348,67297,170929,170929,,,,0.7309411335199301,0.7309411335199301,0.37253708886946707,0.3722549811375026,0.9454978924892965,0.9454978924892965
2011-06,188421,137577,137577,67334,67280,173425,173425,,,,0.730157466524432,0.730157466524432,0.35735931769813345,0.3570727254393088,0.9204122682715833,0.9204122682715833
2011-07,179356,130019,130019,59175,58996,166152,166152,,,,0.7249213854011017,0.7249213854011017,0.3299304177167198,0.3289324025959544,0.9263810522090145,0.9263810522090145
2011-08,196107,143363,143363,70408,70271,182017,182017,,,,0.731044786774567,0.731044786774567,0.3590284895490727,0.3583298913348325,0.9281514683310642,0.9281514683310642
2011-09,185165,136871,136871,66820,66718,171358,171358,,,,0.7391839710528447,0.7391839710528447,0.3608673345394648,0.36031647449572,0.9254340723138822,0.9254340723138822
2011-10,176619,130357,130357,61855,61767,163073,163073,,,,0.7380689506791455,0.7380689506791455,0.3502171340569248,0.3497188864165237,0.9233038348082596,0.9233038348082596
2011-11,183819,136596,136596,64554,64458,169402,169402,,,,0.7431005499975519,0.7431005499975519,0.35118241313465964,0.35066016026634894,0.9215695874746354,0.9215695874746354
2011-12,180027,130492,130492,63268,63155,170062,170062,,,,0.7248468285312759,0.7248468285312759,0.3514361734628695,0.35080848983763546,0.9446471918101174,0.9446471918101174
2012-01,179949,127923,127923,62767,62631,165647,165647,,,,0.7108847506793592,0.7108847506793592,0.3488043834642037,0.3480486137739026,0.9205219256567139,0.9205219256567139
2012-02,172620,123788,123788,60341,60281,158686,158686,,,,0.7171127331711273,0.7171127331711273,0.34955972656702583,0.3492121422778357,0.9192793419070792,0.9192793419070792
2012-03,181345,129539,129539,64788,64696,166744,166744,,,,0.7143235269789627,0.7143235269789627,0.357263778984808,0.3567564586837244,0.9194849596073782,0.9194849596073782
2012-04,174046,122912,122912,61915,61832,160419,160419,,,,0.706204106960229,0.706204106960229,0.3557392873148478,0.35526240189375224,0.92170460682808,0.92170460682808
2012-05,190943,135133,135133,69450,69290,175696,175696,,,,0.7077138203547656,0.7077138203547656,0.3637211104884704,0.36288316408561716,0.9201489449731072,0.9201489449731072
2012-06,171806,121874,121874,64368,64325,158079,158079,,,,0.7093698706680791,0.7093698706680791,0.3746551342793616,0.37440485198421475,0.9201017426632364,0.9201017426632364
2012-07,180273,127072,127072,66197,66186,165832,165832,,,,0.7048864777309969,0.7048864777309969,0.36720418476421873,0.36714316619793314,0.9198937167518153,0.9198937167518153
2012-08,188508,133904,133904,68502,68441,174745,174745,,,,0.7103359008636239,0.7103359008636239,0.3633904131389649,0.3630668194453286,0.9269898359751311,0.9269898359751311
2012-09,168630,122054,122054,59472,59410,160116,160116,,,,0.7237976635236909,0.7237976635236909,0.3526774595267746,0.352309790665955,0.9495107632093933,0.9495107632093933
2012-10,195176,141279,141279,61021,60847,185427,185427,,,,0.7238543673402468,0.7238543673402468,0.3126460220518916,0.3117545189982375,0.9500502110915277,0.9500502110915277
2012-11,186523,135428,135428,56525,56260,176633,176633,,,,0.7260659543327096,0.7260659543327096,0.30304573698685955,0.3016250006701586,0.9469770484068989,0.9469770484068989
2012-12,177051,127653,127653,50396,50128,167518,167518,,,,0.7209956453225342,0.7209956453225342,0.2846411485956024,0.2831274604492491,0.9461567570925892,0.9461567570925892
2013-01,193079,139020,139020,55714,55472,183519,183519,,,,0.7200161591887259,0.7200161591887259,0.28855546175399704,0.2873020887823119,0.9504865883912803,0.9504865883912803
2013-02,168188,121768,121768,48187,47807,159390,159390,,,,0.7239993340785311,0.7239993340785311,0.28650676623778154,0.28424738982567127,0.9476894903322473,0.9476894903322473
2013-03,174906,126521,126521,50549,49331,165464,165464,,,,0.7233656935725475,0.7233656935725475,0.2890066664379724,0.2820429259144912,0.9460167175511418,0.9460167175511418
2013-04,183350,131986,131986,53302,52163,173456,173456,,,,0.7198581947095719,0.7198581947095719,0.29071175347695666,0.28449959094627764,0.9460376329424598,0.9460376329424598
2013-05,190095,135584,135584,59138,57612,179467,179467,,,,0.7132433783108446,0.7132433783108446,0.31109708303742867,0.30306951787264264,0.9440911123385676,0.9440911123385676
2013-06,159650,118277,118277,51600,50084,149965,149965,,,,0.7408518634512997,0.7408518634512997,0.32320701534606955,0.31371124334481676,0.939336047604134,0.939336047604134
2013-07,184049,135480,135480,60196,58613,174310,174310,,,,0.7361083189802715,0.7361083189802715,0.32706507506153254,0.3184641046677787,0.9470847437367222,0.9470847437367222
2013-08,175108,130910,130910,59025,57760,165770,165770,,,,0.7475957694679854,0.7475957694679854,0.3370776891975238,0.3298535760787628,0.9466729104324189,0.9466729104324189
2013-09,168279,126627,126627,56001,55119,158778,158778,,,,0.7524824844454745,0.7524824844454745,0.3327866222166759,0.3275453265113294,0.9435401921808425,0.9435401921808425
2013-10,187611,139281,139281,60078,58507,176579,176579,,,,0.7423925036378464,0.7423925036378464,0.32022642595583417,0.31185271652515045,0.9411974777598329,0.9411974777598329
2013-11,172089,124295,124295,55414,54216,161722,161722,,,,0.7222716152688434,0.7222716152688434,0.3220077982904195,0.3150462841901574,0.9397579159620894,0.9397579159620894
2013-12,179530,129760,129760,58295,57167,169213,169213,,,,0.7227761376928648,0.7227761376928648,0.324708962290425,0.31842588982342784,0.9425332813457361,0.9425332813457361
2014-01,188119,137896,137896,63188,62368,177179,177179,,,,0.7330253722377856,0.7330253722377856,0.33589376936938853,0.3315348263599105,0.9418453213125734,0.9418453213125734
2014-02,165489,122127,122127,56555,55821,155192,155192,,,,0.737976542247521,0.737976542247521,0.3417447685344645,0.33730942842122436,0.9377783417628967,0.9377783417628967
2014-03,176404,130798,130798,60004,59148,165506,165506,,,,0.741468447427496,0.741468447427496,0.34015101698374184,0.3352985193079522,0.938221355524818,0.938221355524818
2014-04,185710,136352,136352,62142,60981,175107,175107,,,,0.7342200204620106,0.7342200204620106,0.33461849119595066,0.3283668084648107,0.9429056055139734,0.9429056055139734
2014-05,185298,135923,135923,60975,60060,174232,174232,,,,0.7335373290591372,0.7335373290591372,0.3290645338859567,0.32412654211054626,0.9402799814353097,0.9402799814353097
2014-06,175625,128915,128915,57934,56896,164564,164564,,,,0.7340355871886121,0.7340355871886121,0.32987330960854094,0.32396298932384343,0.9370192170818505,0.9370192170818505
2014-07,187117,135528,135528,64673,63836,170872,170872,,,,0.7242954942629478,0.7242954942629478,0.34562867083161875,0.3411555337035117,0.9131826611157725,0.9131826611157725
2014-08,170675,118628,118628,61519,60896,155911,155911,,,,0.6950519994140911,0.6950519994140911,0.36044529075728726,0.3567950783653142,0.9134964113080416,0.9134964113080416
2014-09,179447,124049,124049,63954,63440,163736,163736,,,,0.691284891917948,0.691284891917948,0.3563949244066493,0.3535305689144984,0.9124476865035359,0.9124476865035359
2014-10,186335,130077,130077,68740,68120,169755,169755,,,,0.6980814125097271,0.6980814125097271,0.3689054659618429,0.36557812541927176,0.9110204738776934,0.9110204738776934
2014-11,161410,112827,112827,58809,58269,147023,147023,,,,0.6990087355182455,0.6990087355182455,0.36434545567189147,0.3609999380459699,0.9108667368812341,0.9108667368812341
2014-12,185662,129825,129825,65875,65172,169234,169234,,,,0.6992545593605585,0.6992545593605585,0.35481143152610656,0.3510249808792322,0.9115166269888292,0.9115166269888292
2015-01,178399,124881,124881,64276,63757,162438,162438,,,,0.7000095292013969,0.7000095292013969,0.3602934994030236,0.35738429027068536,0.9105320097085746,0.9105320097085746
2015-02,162808,114763,114763,61827,61345,146827,146827,,,,0.7048977937202103,0.7048977937202103,0.37975406613925605,0.37679352365977103,0.9018414328534224,0.9018414328534224
2015-03,165302,122495,122495,69130,68683,139822,139822,,,,0.7410376159998064,0.7410376159998064,0.41820425645182757,0.41550011494113803,0.8458578843571161,0.8458578843571161
2015-04,163110,121279,121279,69577,69153,137630,137630,,,,0.7435411685365704,0.7435411685365704,0.426564894856232,0.42396542210778004,0.8437864018147263,0.8437864018147263
2015-05,154589,116652,116652,66285,65910,130334,130334,,,,0.7545944407428731,0.7545944407428731,0.4287821255069895,0.4263563384199393,0.8431000912095945,0.8431000912095945
2015-06,167005,128870,128870,68387,67934,147825,147825,,,,0.7716535433070866,0.7716535433070866,0.40949073381036494,0.4067782401724499,0.885153139127571,0.885153139127571
2015-07,176534,137100,137100,71380,73087,159984,159984,,,,0.7766209342109736,0.7766209342109736,0.40434137333318226,0.4140108987503824,0.9062503540394485,0.9062503540394485
