period,stock_month_observations,unique_cusip8,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw,fee_qualifying_share
2016-11,6663,6663,6.442030616839261,15.25167913092798,0.25,0.25,0.375,1.125,8.0,14.000000000000002,95.0,275.0,0.5129821401770974,27.830109807227206,8.987141,99.93432,99.999324,0.9557256491070089
2016-12,6773,6773,6.573047394064669,14.565688433473065,0.25,0.375,0.375,1.125,8.0,14.000000000000002,85.0,220.00000000000003,0.5319651557655396,26.727206182890527,7.902169000000001,99.9052,99.9986981,0.9495053890447365
2017-01,6824,6824,6.312335140679953,14.3847717193638,0.25,0.375,0.375,1.125,8.0,14.000000000000002,85.0,290.0,0.5171453692848769,27.501296362727274,7.872078,99.93715,99.9990619,0.9553048065650644
2017-02,6694,6694,6.497124290409322,14.980821762413914,0.25,0.375,0.375,1.125,8.0,14.000000000000002,90.0,210.0,0.5135942635195697,26.57943099116907,7.57866,99.89693,99.9988962,0.9533910965043323
2017-03,6731,6731,6.619243054523845,15.58921293414629,0.25,0.375,0.375,1.25,8.0,14.000000000000002,95.0,210.0,0.5204278710444213,27.77111376268514,8.424066,99.91644,99.9988376,0.952161640172337
2017-04,6686,6686,6.794477265928807,15.580525898608073,0.25,0.375,0.375,1.375,8.0,14.000000000000002,95.0,165.0,0.5161531558480407,27.863333320931194,8.2452425,99.91915,99.9987765,0.9557283876757403
2017-05,6585,6585,6.505561883067577,16.007369982155208,0.25,0.375,0.375,1.25,7.000000000000001,14.000000000000002,95.0,425.0,0.5100987091875474,28.080916735522536,8.627568,99.9356,99.9987988,0.9602126044039484
2017-06,6613,6613,6.692461817631937,15.319962796658434,0.25,0.25,0.375,1.375,8.0,14.000000000000002,95.0,170.0,0.5161046423710872,28.570765219186995,9.369934,99.895924,99.9986274,0.9499470739452593
2017-07,6735,6735,6.908723088344469,15.41974998742124,0.25,0.375,0.375,1.625,8.0,15.0,98.29999999999927,150.0,0.5291759465478841,29.193676585984253,9.767224500000001,99.93327,99.99889,0.9529324424647364
2017-08,6772,6772,6.91049542232723,15.566061038807876,0.25,0.25,0.375,1.625,8.0,15.0,100.0,250.0,0.5310100413467218,29.941320727537885,10.5045,99.941946,99.9990092,0.9585056113408151
2017-09,6695,6695,6.920780433159074,16.684497325600194,0.25,0.25,0.375,1.5,8.0,14.000000000000002,105.0,415.00000000000006,0.5193427931292008,29.329849538144632,9.6857995,99.924546,99.9984434,0.9583271097834205
2017-10,6727,6727,7.030083989891482,16.72249171859687,0.25,0.25,0.375,1.625,8.0,14.000000000000002,105.0,340.0,0.522372528616025,29.116875343218876,9.22068,99.91153,99.99857,0.948565482384421
2017-11,6730,6730,7.186998514115899,16.698593407507634,0.25,0.25,0.375,1.625,8.0,15.0,105.0,225.0,0.524962852897474,27.840038627187813,8.4273875,99.88130500000001,99.9986186,0.9549777117384844
2017-12,6613,6613,7.704332375623771,17.926337712107305,0.25,0.375,0.375,1.5,8.0,17.0,110.00000000000001,250.0,0.5186753364584908,26.081272460837386,7.31014,99.808808,99.9984468,0.9538787237259942
2018-01,6690,6690,7.667974588938715,17.851023819340586,0.25,0.375,0.375,1.5,8.0,17.0,105.0,229.99999999999997,0.5185351270553065,25.726188686553673,7.0523375,99.6465,99.9984766,0.9518684603886398
