sample,stock_months,unique_permnos,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share_gt_1pct,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw,month
2014-07,3611,3611,2.0080310163389643,7.059193694010937,0.25,0.25,0.375,0.375,0.5,3.0,35.0,114.99999999999999,0.16338964275823872,15.636297654736987,6.475719,46.26588,90.13239279999999,2014-07
2014-08,3620,3620,2.0279696132596685,7.4537438936202625,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,35.0,110.00000000000001,0.16270718232044198,15.368640587049999,6.5614865,45.643228,87.61163859999988,2014-08
2014-09,3650,3650,1.975068493150685,7.280268930351435,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,35.0,110.00000000000001,0.16246575342465752,16.260292577242232,7.402677,46.874396000000004,89.36561039999991,2014-09
2014-10,3623,3623,1.9190932928512283,7.000085411967354,0.25,0.25,0.375,0.375,0.5,3.0,30.0,110.00000000000001,0.16284846812034226,15.868541053756232,7.1569199999999995,46.076721,89.99868499999998,2014-10
2014-11,3602,3602,1.8756593559133814,6.485859569621811,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,35.0,105.0,0.1690727373681288,15.595946014426184,6.7731505,46.99719399999999,88.04107730000001,2014-11
2014-12,3608,3608,1.8306541019955653,6.484417266615794,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,35.0,105.0,0.16879157427937916,14.73158610618783,6.140071,44.20357600000003,85.8642698,2014-12
2015-01,3611,3611,1.745049847687621,5.921196393366686,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,30.0,110.00000000000001,0.1703129327056217,14.800142160760899,6.184822,44.17446,88.27071,2015-01
2015-02,3629,3629,1.8173739322127307,6.025935271769193,0.25,0.375,0.375,0.375,0.5,3.5000000000000004,30.0,110.00000000000001,0.1730504271149077,14.766704574153717,6.211956000000001,43.054524,88.24646519999983,2015-02
2015-03,3656,3656,1.9766479759299782,6.03341109473024,0.25,0.375,0.5,0.5,0.625,3.5000000000000004,30.0,100.0,0.1838074398249453,14.972412332712707,6.217157,44.72644099999999,86.5410692,2015-03
2015-04,3655,3655,1.8805403556771545,6.494018822108874,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,30.0,105.0,0.17209302325581396,14.370041140370164,5.702961500000001,44.052046,84.79190549999998,2015-04
2015-05,3672,3672,1.8804806644880174,6.428375952502478,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,30.0,100.0,0.17320261437908496,14.876612005104453,6.304073499999999,45.40184600000001,85.0341891,2015-05
2015-06,3691,3691,1.9231915470062313,7.033585583916586,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,30.0,140.0,0.17041452180980765,15.785980115141536,7.0360655,46.15762200000002,91.3642534,2015-06
2015-07,3666,3666,1.8708060556464812,6.68728790676104,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,30.0,114.99999999999999,0.1778505182760502,15.979542906106849,7.0717495,46.984719,92.3976548,2015-07
2015-08,3647,3647,1.8584452975047985,6.663422357442654,0.25,0.375,0.375,0.375,0.5,3.0,30.0,110.00000000000001,0.17219632574718946,17.324353055328004,8.3239745,49.915655,93.6038853,2015-08
2015-09,3655,3655,1.9025991792065664,6.7205796806976466,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,30.0,105.0,0.17701778385772915,17.821354942679704,9.10117,50.28089,90.821711,2015-09
2015-10,3634,3634,1.897461474958723,6.567405370216961,0.25,0.25,0.375,0.375,0.5,3.5000000000000004,30.0,110.00000000000001,0.1755641166758393,17.548134427527685,8.503092500000001,51.290617,94.74209879999995,2015-10
2015-11,3631,3631,1.9832002203249794,6.268602623127426,0.25,0.375,0.375,0.5,0.625,3.5000000000000004,30.0,105.0,0.18837785733957588,17.135146252571268,8.224339,49.22445400000002,92.31748920000004,2015-11
2015-12,3651,3651,2.3388797589701453,6.55617198008004,0.25,0.375,0.75,0.75,0.8750000000000001,4.5,35.0,110.00000000000001,0.21254450835387564,16.927350188817055,7.837993,49.38620999999999,90.52238779999999,2015-12
2016-01,3604,3604,2.205639567147614,6.2708897024668016,0.25,0.375,0.5,0.5,0.8750000000000001,4.0,35.0,95.0,0.2255826859045505,17.888248947724485,9.203862,52.116875,91.43676950000003,2016-01
2016-02,3554,3554,2.3026167698368036,7.235548514343242,0.25,0.375,0.5,0.5,0.75,4.5,35.0,110.00000000000001,0.21862689926842993,17.956014539032804,9.077236500000001,50.8472,93.2904755,2016-02
2016-03,3537,3537,2.3563047780605033,7.408617932522479,0.25,0.375,0.5,0.5,0.8750000000000001,4.0,35.0,114.99999999999999,0.22448402601074358,17.44995702330964,9.132906,48.83313800000001,88.64954560000011,2016-03
2016-04,3587,3587,2.2915737385001393,7.362535852009471,0.25,0.375,0.5,0.5,0.8750000000000001,4.0,30.699999999999363,114.99999999999999,0.22748815165876776,16.722882200569423,8.491006,46.890001999999996,89.22463520000001,2016-04
2016-05,3633,3633,2.2267409854115057,6.571980321624374,0.25,0.375,0.5,0.5,0.8750000000000001,4.0,30.0,114.99999999999999,0.23781998348472336,16.42242545998062,8.3820485,45.394870000000004,91.1321500999998,2016-05
2016-06,3617,3617,2.2148880287531103,6.365487426714638,0.25,0.375,0.5,0.5,1.0,4.5,30.0,110.00000000000001,0.2435720210118883,16.534401355616666,8.821625000000001,45.029084,86.12805109999995,2016-06
2016-07,3600,3600,2.2497569444444445,6.997553142037577,0.25,0.375,0.5,0.5,1.0,4.5,30.0,114.99999999999999,0.24388888888888888,15.668748888832075,7.537575,43.98360400000003,87.17776519999997,2016-07
2016-08,3625,3625,2.369310344827586,7.684190129472425,0.25,0.375,0.5,0.5,1.0,4.5,35.0,114.99999999999999,0.23806896551724138,15.225549283974464,7.211216,42.62197400000002,87.96508020000002,2016-08
2016-09,3628,3628,2.3800303197353916,8.198189246376387,0.25,0.375,0.375,0.375,0.8750000000000001,5.0,35.0,120.0,0.2326350606394708,15.76944356119878,7.8855895,43.252462,90.680354,2016-09
2016-10,3629,3629,2.2998071093965278,7.925811359017105,0.25,0.375,0.375,0.375,0.8750000000000001,5.0,30.0,114.99999999999999,0.2350509782309176,15.67647833239889,7.510675,44.694317999999996,90.35539559999997,2016-10
2016-11,3586,3586,2.0769659788064696,6.795630182606882,0.25,0.25,0.375,0.375,0.8750000000000001,4.0,25.0,114.99999999999999,0.22922476296709426,14.584788049379735,6.782902,40.75348200000001,89.65068460000006,2016-11
2016-12,3586,3586,2.4054656999442274,8.18868773359946,0.25,0.375,0.375,0.375,0.8750000000000001,4.5,35.0,114.99999999999999,0.23647518126045733,13.680181285927487,5.681286,40.15490700000003,87.1810504999999,2016-12
2017-01,3570,3570,2.131232492997199,7.370526910953559,0.25,0.375,0.375,0.375,0.75,4.0,35.0,110.00000000000001,0.20364145658263305,13.543497885690531,5.3794635,41.113009000000005,88.24484499999993,2017-01
2017-02,3588,3588,2.2016095317725752,7.773743857015796,0.25,0.25,0.375,0.375,0.75,4.0,35.0,110.00000000000001,0.20707915273132665,13.976234967949509,5.406122,41.102526,92.24408720000004,2017-02
2017-03,3589,3589,2.369253273892449,8.282623743443878,0.25,0.25,0.375,0.375,0.625,4.5,40.0,110.00000000000001,0.21120089161326275,14.757422532807412,6.0020675,43.391262000000026,93.58364039999994,2017-03
2017-04,3579,3579,2.4919670298966192,9.25131783705549,0.25,0.25,0.375,0.375,0.625,4.5,41.099999999999,155.0,0.20732048058116792,14.857965519991572,5.967953,42.83851400000001,94.9751016,2017-04
2017-05,3564,3564,2.402497194163861,8.735894251830414,0.25,0.25,0.375,0.375,0.625,4.5,36.849999999999454,114.99999999999999,0.2107182940516274,14.768288940831924,5.8242805,43.204205,92.44665750000004,2017-05
2017-06,3539,3539,2.449562023170387,8.721044970266458,0.25,0.25,0.375,0.375,0.75,5.0,40.0,114.99999999999999,0.211641706696807,15.313648618183628,6.6147065000000005,44.40757900000001,92.8179908999999,2017-06
2017-07,3558,3558,2.586565486228218,9.185662959998554,0.25,0.25,0.375,0.375,0.75,6.0,40.0,135.0,0.2203485103991006,15.325730113233297,6.5406794999999995,43.719922000000004,91.20714860000004,2017-07
2017-08,3562,3562,2.305235822571589,8.004318764622118,0.25,0.25,0.375,0.375,0.75,4.5,35.0,140.0,0.21448624368332397,15.437982031360812,7.1376485,42.66976400000002,91.85870980000007,2017-08
2017-09,3547,3547,2.291267268113899,7.944954139928338,0.25,0.25,0.375,0.375,0.625,4.5,35.0,114.99999999999999,0.20270651254581337,15.348745982097048,6.7458765,43.57383400000002,92.39410659999999,2017-09
2017-10,3560,3560,2.373630617977528,8.161368335826692,0.25,0.25,0.375,0.375,0.625,5.0,35.0,114.99999999999999,0.2103932584269663,15.379086643216507,6.4317815,45.094200000000036,95.26666810000006,2017-10
2017-11,3553,3553,2.3598719392063043,7.90368574423814,0.25,0.25,0.375,0.375,0.625,5.0,35.0,114.99999999999999,0.20743034055727555,14.988142545819162,6.319834999999999,43.771668999999996,93.9463154,2017-11
2017-12,3542,3542,2.515351496329757,8.49521529015871,0.25,0.375,0.375,0.375,0.75,6.0,35.0,114.99999999999999,0.2075098814229249,14.165903955804435,5.5914785,41.934572,91.2800609,2017-12
2018-01,3570,3570,2.600035014005602,9.387831323586104,0.25,0.375,0.375,0.375,0.75,5.0,45.0,130.0,0.20756302521008405,14.78524521320744,5.4865075,44.602383,92.42216419999997,2018-01
2018-02,3570,3570,2.6386904761904764,9.43743596562116,0.25,0.375,0.375,0.375,0.71875,6.0,50.0,114.99999999999999,0.2053221288515406,15.226607876422328,5.905185,45.97043000000001,92.4910014,2018-02
2018-03,3574,3574,2.3718234700615555,8.465497877168982,0.1,0.18355211000000002,0.27499999999999997,0.2971455,0.6010847500000001,4.988785400000006,39.96484799999992,124.4312,0.21180749860100728,15.334311152630987,5.9618775,46.23610599999999,93.03818169999997,2018-03
2018-04,3576,3576,2.258817737975391,8.429591581555314,0.1,0.16006774999999998,0.27435125,0.290218,0.5158762499999999,4.473423499999999,38.1776025,138.3315,0.20385906040268456,15.174955829735582,5.636591,45.79784599999999,90.4901534,2018-04
2018-05,3573,3573,2.062780071088721,7.457210047050041,0.1,0.14955972,0.27499999999999997,0.298344,0.49116000000000004,4.033065000000001,32.52908479999997,107.55760000000001,0.19871256647075286,14.856143187440813,5.350704,44.56773600000001,91.62572159999999,2018-05
2018-06,3584,3584,2.333019594029018,9.164220685907724,0.1,0.15958881,0.27364175,0.295629,0.53981125,4.294470000000002,38.3847627000001,225.3046,0.21037946428571427,15.030651635557115,5.844597,43.84488400000001,90.21239840000004,2018-06
2018-07,3577,3577,2.033047758456807,7.359813963766691,0.1,0.15646132,0.274857,0.29896900000000004,0.479835,3.9809390000000007,31.739922799999835,114.1008,0.19988817444786133,14.876353372963171,5.834092,44.223888,90.16277840000004,2018-07
2018-08,3584,3584,1.9475991668526789,7.4418622515574135,0.1,0.16303355,0.27499999999999997,0.297542,0.44530549999999997,3.707552100000006,30.544286800000023,151.7657,0.18722098214285715,14.743978765297419,5.8602165,42.558182000000016,89.73071549999997,2018-08
2018-09,3602,3602,1.9312222254303166,7.371559746283754,0.1,0.15274025,0.275214,0.305944,0.47291474999999994,3.6936150000000003,29.765060199999784,139.983,0.18295391449194892,14.976665349030998,5.922194,43.3354,88.433404,2018-09
2018-10,3594,3594,1.956296238452977,7.955505331316091,0.1,0.15389449,0.27485575,0.2919355,0.414967,3.4610878,33.42894140000013,171.4546,0.17946577629382304,15.203559204986002,6.1697305,43.77181800000001,93.518553,2018-10
2018-11,3559,3559,1.8210340705254289,8.716176180954946,0.1,0.18531486,0.27837749999999994,0.294139,0.354057,3.2675268000000046,25.967890200000006,240.6842,0.1728013486934532,14.450403854198926,5.832697,41.07988000000003,93.50786459999999,2018-11
2018-12,3532,3532,1.867691458380521,8.38635297952046,0.1,0.16666801,0.2749755,0.286045,0.36250000000000004,3.353931,30.530907500000232,225.9331,0.1673272933182333,14.236596058599941,6.071329,40.03112400000001,91.78512520000001,2018-12
2019-01,3459,3459,1.6146074637178376,7.0856654083816855,0.1,0.19264726,0.27499999999999997,0.29009399999999996,0.3616935,3.132250800000006,21.589741400000015,185.4298,0.15466897947383637,14.198782050587722,6.002851,39.088650000000015,91.91523679999989,2019-01
2019-02,3519,3519,1.6281357198067634,6.37510627937182,0.1,0.14849974,0.27675249999999996,0.292099,0.3396115,3.222119000000002,30.34904580000018,109.0351,0.15089514066496162,14.462223713759291,6.164706,38.982863,93.9667391999999,2019-02
2019-03,3550,3550,1.755595906197183,7.433801708066552,0.1,0.18765976,0.27922025,0.2955725,0.350057,3.3679165999999983,31.27290589999988,169.2279,0.156056338028169,14.517884287076487,6.071709,41.240289,92.1049632,2019-03
2019-04,3552,3552,1.837144044481982,8.112293796619571,0.1,0.18210772,0.27934875,0.2962275,0.34707075,3.1746204000000025,32.35718219999999,197.6981,0.15512387387387389,14.453233930685165,5.7638485,41.33405200000001,95.01384930000002,2019-04
