model,month,status,n_stocks,objective_value,turnover,transaction_cost,short_borrow_cost,long_lending_revenue,gross_return,net_return,short_weight,gross_exposure,fee_exposure
M2,2018-07,CLARABEL_SOLVED,997,1.9920246500935788,1.9582338236656298,0.00979116911832815,0.0013599271421596009,1.8763202881447952e-05,0.0023083476129642727,-0.008823985444642031,0.2500000247232697,1.5000000494465402,0.0013599271421596009
M2,2018-08,CLARABEL_SOLVED,995,1.891562037739521,2.1631692259939683,0.010815846129969843,0.0005781832425348337,0.0003932499799200662,0.10325618874850567,0.09225540935592105,0.2500000137885882,1.5000000275771759,0.0005781832425348337
M2,2018-09,CLARABEL_SOLVED,996,1.6919416520408328,1.9962456625149758,0.00998122831257488,0.0007188795177190906,2.5688559255933395e-05,-0.05521669680078134,-0.06589111607181938,0.2500000159172078,1.500000031834415,0.0007188795177190906
M2,2018-10,CLARABEL_SOLVED,995,1.8786091516589698,2.0372308066803573,0.010186154033401786,0.004014343384488945,2.2975942972159774e-05,-0.11231341793382815,-0.12649093940874673,0.25000001544749456,1.5000000308949892,0.004014343384488945
M2,2018-11,CLARABEL_SOLVED,995,1.945431925356248,1.9358475204837695,0.009679237602418848,0.001658212954495019,9.791047445280453e-06,0.012317361471910808,0.0009897019624422216,0.2500000125225794,1.5000000250451588,0.001658212954495019
M2,2018-12,CLARABEL_SOLVED,994,1.9355051142912363,2.5007555042285277,0.012503777521142638,0.0008956949962608051,2.3435081459603597e-05,-0.11650695493785311,-0.12988299237379694,0.25000000213897056,1.5000000042779411,0.0008956949962608051
M2,2019-01,CLARABEL_SOLVED,996,1.8103320301948882,2.3023529845964656,0.011511764922982328,0.0004531212566876177,2.397389922355099e-05,0.135282429620098,0.12334151733965162,0.25000003607974647,1.500000072159492,0.0004531212566876177
M2,2019-02,CLARABEL_SOLVED,994,1.8781190690992826,2.3527821274204777,0.011763910637102389,0.0013619795044294476,2.877336028752024e-05,0.03300095679628908,0.019903840015044767,0.2500000053337022,1.5000000106674043,0.0013619795044294476
M2,2019-03,CLARABEL_SOLVED,993,1.9336649012234592,1.9028571505954976,0.009514285752977488,0.002398226703308818,3.396334391365157e-05,0.00783484631577586,-0.004043702796596795,0.2500000045565573,1.5000000091131143,0.002398226703308818
M2,2019-04,CLARABEL_SOLVED,993,1.8949133842109211,2.312432741305008,0.01156216370652504,0.0009350637264789207,2.656489763721558e-05,0.0013095235184184383,-0.011161139016948306,0.25000002094701346,1.5000000418940256,0.0009350637264789207
M2,2019-05,CLARABEL_SOLVED,994,1.971220307288921,1.9933336983907597,0.009966668491953799,0.0007620723137538183,3.0226490801752706e-05,-0.000430798538161966,-0.01112931285306783,0.25000000874191125,1.5000000174838226,0.0007620723137538183
M2,2019-06,CLARABEL_SOLVED,992,1.774865246055544,2.2237368293893764,0.011118684146946882,0.0017486019641038738,2.7719013999457996e-05,0.09818781379677465,0.08534824669972337,0.2500000107841901,1.500000021568379,0.0017486019641038738
M2,2019-07,CLARABEL_SOLVED,989,1.9084590989483152,2.1923809801483856,0.010961904900741929,0.00462779893088157,3.532023264442138e-05,0.011280478889327195,-0.004273904709651883,0.25000002531461374,1.5000000506292284,0.00462779893088157
M2,2019-08,CLARABEL_SOLVED,989,1.862304154525712,1.6417583016919652,0.008208791508459826,0.0007817739676096867,3.594579536139105e-05,-0.05004100256082657,-0.058995622241534686,0.25000001832161,1.5000000366432193,0.0007817739676096867
M2,2019-09,CLARABEL_SOLVED,991,1.7239797071058784,2.1843243544336173,0.010921621772168086,0.0013557062647771665,2.362542119021378e-05,-0.0020461371363531752,-0.014299839752108214,0.2500000238491115,1.5000000476982223,0.0013557062647771665
M2,2019-10,CLARABEL_SOLVED,991,2.207198762714583,2.3873684637132646,0.011936842318566324,0.0011415889541766444,4.0129510373597146e-05,0.01863868765292934,0.005600385890559969,0.25000000857612353,1.5000000171522463,0.0011415889541766444
M2,2019-11,CLARABEL_SOLVED,991,1.8070400175215224,2.0138192546827085,0.010069096273413543,0.0004096709219754122,3.169780762825343e-05,0.029925224150722844,0.019478154762962142,0.250000012388854,1.5000000247777077,0.0004096709219754122
M2,2019-12,CLARABEL_SOLVED,994,1.9002746390396126,2.011015215666997,0.010055076078334986,0.0002012761554594872,2.832110634306536e-05,0.02007253104776828,0.009844499920316873,0.2500000339775329,1.5000000679550667,0.0002012761554594872
